Employee_ID,Hire_Date,Age,Gender,Marital_Status,Region,Education_Level,Department,Employment_Type,Shift,Tenure_Years,Monthly_Salary_PHP,Performance_Score,Performance_Rating,Training_Hours_YTD,Absences_YTD,Overtime_Hours_Monthly,Distance_Office_KM,Job_Satisfaction_Score,Work_Life_Balance_Score,Num_Promotions,Prev_Companies,Attrition
EMP03101,2017-10-19,30,Male,Married,NCR,Bachelor,Customer Service,Contractual,Morning,5.5,31500,2.6,Meets Expectations,24,12,25,10,5.4,3.1,0,1,1
EMP02785,2018-05-10,35,Female,Married,Region IV-A,Bachelor,IT,Regular,Night,13.8,50500,1.4,Needs Improvement,25,18,11,33,3.2,6.5,1,1,0
EMP03395,2023-01-31,56,Male,Married,NCR,Master,Customer Service,Regular,Afternoon,26.9,66500,4.1,Exceeds Expectations,50,10,30,6,4.5,5.6,7,0,0
EMP01394,2014-09-18,40,Female,Married,Region I,Bachelor,Marketing,Contractual,Graveyard,11.3,43500,1,Needs Improvement,5,17,18,157,1,2.5,1,1,1
EMP02570,2017-03-19,56,Female,Single,Region VII,Master,finance,Regular,Graveyard,30,85000,4.2,Exceeds Expectations,28,10,13,308,2.4,2,8,2,0
EMP01682,2008-02-18,34,Female,Single,NCR,Master,Sales,Regular,Afternoon,8.8,47500,3.8,Exceeds Expectations,42,-5,7,7,5.4,6,2,0,0
EMP03723,2022-11-23,50,Male,Single,Region III,Master,Marketing,Regular,Afternoon,24.2,69500,2.9,Meets Expectations,32,15,26,66,4.2,2.7,5,2,0
EMP03358,2018-01-31,36,Female,Single,NCR,Master,Operations,Regular,Morning,10.9,50000,2.6,Meets Expectations,42,10,40,9,6.1,1.2,2,1,1
EMP04925,2014-05-01,48,Male,Married,Region VII,Bachelor,Compliance,Regular,Afternoon,21.7,55000,2.7,Meets Expectations,28,13,0,279,4.1,2.5,4,1,0
EMP03330,2014-09-02,45,Female,Married,Region VI,Vocational,Operations,Regular,Graveyard,16,29000,4.1,Exceeds Expectations,37,10,28,,4.7,2,5,8,1
EMP04348,2023-06-04,58,Male,Married,CAR,Vocational,Operations,Contractual,Morning,12,27000,3.1,Meets Expectations,29,10,27,195,3.5,6.6,2,0,1
EMP03896,2013-05-28,58,Female,Married,NCR,Vocational,Customer Service,Contractual,Morning,17.1,37000,1,Needs Improvement,18,14,9,10,2.3,3.9,1,1,1
EMP01080,2023-01-12,30,Female,Single,Region IV-A,PhD,Operations,Regular,Afternoon,13.8,70500,2.8,Meets Expectations,47,9,13,28,2.7,4.4,2,1,1
EMP01743,2013-07-18,33,Female,Married,NCR,Vocational,Marketing,Project-based,Night,4.4,35500,5,Outstanding,62,7,22,9,7.1,5.1,1,2,1
EMP03654,2012-03-05,45,Female,Married,Region VII,Bachelor,Operations,Contractual,Graveyard,7.7,24000,4.3,Exceeds Expectations,34,10,23,138,4.1,2.9,2,2,1
EMP01200,2018-08-29,32,Male,Married,Region VII,Bachelor,Marketing,Regular,Graveyard,9.5,48500,3.6,Exceeds Expectations,,8,13,338,5,,2,2,1
EMP05544,2009-04-17,39,Female,Single,Region III,Bachelor,Sales,Regular,Night,14.8,32500,3.4,Meets Expectations,32,17,11,47,4.8,4.7,3,4,1
EMP04384,2014-09-25,31,Female,Separated,Region I,Bachelor,Sales,Regular,Graveyard,6.4,34500,2.7,Meets Expectations,45,12,6,311,3.6,1.3,1,0,1
EMP01430,2017-08-04,54,Female,Single,Region IV-A,Master,Operations,Regular,Morning,21.1,58000,3.4,Meets Expectations,28,17,29,38,5,2.5,4,3,0
EMP04559,2017-08-08,34,Female,Widowed,Region IV-A,Vocational,Operations,Contractual,Afternoon,4.4,21000,3.1,Meets Expectations,19,13,37,57,4.6,2.3,1,2,1
EMP05852,2022-11-10,37,Female,Married,Region III,Bachelor,Sales,Regular,Graveyard,9.3,32500,3.1,Meets Expectations,26,9,21,73,1.9,4.7,2,1,1
EMP01180,2008-01-05,38,Female,Married,Region VII,Bachelor,Operations,Regular,Morning,12.3,34500,3.8,Exceeds Expectations,48,20,34,115,4.2,4.7,3,5,1
EMP01066,2013-02-09,50,Male,Single,NCR,Bachelor,HR,Contractual,Afternoon,11.7,35000,4.6,Outstanding,57,6,25,9,5.3,5.1,3,0,1
EMP05282,2008-01-11,32,Female,Single,NCR,Bachelor,Marketing,Project-based,Night,3.6,32500,1,Needs Improvement,31,16,24,6,3.4,,0,0,1
EMP05859,2017-05-24,30,Male,Married,Region VII,Bachelor,Customer Service,Project-based,Afternoon,3.6,28500,4.1,Exceeds Expectations,40,12,15,113,3,6.1,1,0,1
EMP01765,2010-06-04,39,Female,Married,Region XI,Master,Operations,Regular,Afternoon,11.8,47500,2.9,Meets Expectations,28,14,29,397,5.6,3.5,2,1,0
EMP03590,2019-11-29,34,Male,Single,Region XI,Bachelor,IT,Contractual,Graveyard,7.2,54500,2.9,Meets Expectations,21,9,22,487,3.8,3.3,1,0,1
EMP01904,2012-01-09,58,Male,Separated,NCR,Bachelor,HR,Regular,Night,30,52000,1.2,Needs Improvement,5,15,26,5,,3.7,2,1,1
EMP05323,2017-09-03,42,Female,Married,NCR,Bachelor,IT,Regular,Morning,21,68000,4.3,Exceeds Expectations,48,8,0,,5.5,5.5,6,2,0
EMP01882,2013-08-21,43,Female,Widowed,Region VII,Vocational,IT,Regular,Night,28.3,61500,3,Meets Expectations,19,11,23,345,2.7,4.1,6,1,1
EMP02169,2013-03-28,33,Male,Married,Region III,Bachelor,Operations,Regular,Graveyard,9.4,40000,2.8,Meets Expectations,29,13,23,52,5.2,1,1,2,1
EMP05507,2014-04-15,48,Male,Separated,Region III,Master,Marketing,Contractual,Morning,10.4,58000,4.4,Exceeds Expectations,50,7,12,48,5.9,4.6,3,2,1
EMP04041,2008-05-17,27,Female,Separated,NCR,Bachelor,Operations,Regular,Graveyard,4.3,26500,4.9,Outstanding,51,8,15,6,5.8,1.7,1,1,1
EMP03171,2016-05-05,40,Female,Single,Region III,Bachelor,IT,Regular,Afternoon,16.4,61500,2.7,Meets Expectations,49,11,18,39,6.2,5.7,3,2,0
EMP04738,2016-08-11,35,Male,Single,Region XI,Master,Marketing,Regular,Night,11.6,53000,3.3,Meets Expectations,19,15,17,325,3,6.9,2,3,1
EMP02913,2008-12-23,40,Male,Single,Region IV-A,Vocational,Compliance,Project-based,Night,6.4,35500,3.7,Exceeds Expectations,27,8,14,,5.6,6,1,2,0
EMP01030,2021-03-20,58,Male,Single,NCR,Bachelor,Operations,Regular,Morning,22.5,48500,5,Outstanding,56,6,27,5,5.9,4.4,7,0,0
EMP01585,2013-04-08,51,Female,Separated,Region IV-A,Bachelor,IT,Regular,Afternoon,26.2,65000,,Exceeds Expectations,55,7,4,22,3.7,2.2,7,0,0
EMP01473,2010-06-04,58,Male,Single,Region XI,Master,Operations,Contractual,Morning,13.1,48500,1.3,Needs Improvement,45,13,11,334,3.6,5.9,1,1,0
EMP01492,2015-11-16,35,Female,Married,NCR,High School,IT,Regular,Morning,20.1,54500,4.3,Exceeds Expectations,59,7,18,5,7.3,4.8,6,1,0
EMP03975,2008-05-12,58,Female,Married,NCR,PhD,Sales,Regular,Night,24.1,70000,4.2,Exceeds Expectations,35,9,0,6,7.7,6,6,1,0
EMP03122,2010-04-20,47,Male,Single,NCR,Bachelor,Finance,Regular,Morning,28.7,64000,4.1,Exceeds Expectations,57,9,21,8,8.1,6.9,8,1,0
EMP03878,2020-06-19,39,Male,Single,Region IV-A,Bachelor,Operations,Regular,Night,14.8,36500,3.4,Meets Expectations,41,11,19,39,5,4.2,4,2,1
EMP01554,2021-10-21,58,Female,Married,CAR,Bachelor,HR,Regular,Night,27.8,47000,3.5,Exceeds Expectations,45,9,0,398,3.2,,6,1,0
EMP01799,2010-05-14,52,Female,Single,NCR,Master,IT,Regular,Night,29.9,76500,3.6,Exceeds Expectations,43,9,22,9,5.4,4.8,7,2,0
EMP02171,2008-12-23,36,Male,Single,NCR,Master,IT,Regular,Graveyard,13.8,66500,2.7,Meets Expectations,33,10,22,7,4,3.3,2,1,0
EMP01725,2015-05-01,58,Male,Married,Region IV-A,Bachelor,HR,Project-based,Morning,11.8,30500,2.5,Meets Expectations,25,13,23,24,3.2,2.5,2,1,1
EMP03488,2018-10-10,52,Female,Married,Region VII,High School,Customer Service,Regular,Night,23.5,40000,3.7,Exceeds Expectations,53,18,22,278,5.1,10,6,1,0
EMP02213,2008-10-21,58,Male,Married,NCR,Bachelor,Operations,Regular,Night,26.3,48500,3.2,Meets Expectations,53,9,25,5,5,3.6,5,1,0
EMP02434,2010-01-20,54,Female,Single,NCR,Bachelor,I.T.,Regular,Afternoon,27.8,70500,4.9,Outstanding,36,11,12,8,6,2.8,8,0,0
EMP04198,2015-12-09,57,Male,Single,Region IV-A,Bachelor,Customer Service,Contractual,Night,14.6,38000,3.2,Meets Expectations,33,10,25,18,4.3,4.4,3,4,1
EMP02182,2010-10-31,45,Male,Married,Region IV-A,Master,Sales,Project-based,Graveyard,6.8,45000,3.2,Meets Expectations,53,11,6,36,5.1,1,1,3,1
EMP01024,2022-07-29,49,Female,Married,Region III,High School,Sales,Contractual,Night,7.8,28000,2.9,Meets Expectations,42,16,20,70,4.8,5.5,1,0,1
EMP03260,2015-09-23,34,Female,Married,NCR,Master,Finance,Contractual,Night,8.1,48000,2.7,Meets Expectations,21,12,16,12,1.1,8.8,1,0,1
EMP04989,2009-05-25,47,Female,Single,NCR,Vocational,Sales,Regular,Afternoon,15.3,33000,5,Outstanding,38,8,8,9,3.9,3.9,5,2,1
EMP01169,2022-01-09,35,Male,Married,Region I,Bachelor,Operations,Regular,Afternoon,9.2,35500,3.5,Exceeds Expectations,32,10,13,287,4.3,5.8,2,2,1
EMP04606,2009-09-10,34,Male,Single,Region I,Vocational,Operations,Contractual,Afternoon,4.5,29000,3.6,Exceeds Expectations,38,8,29,210,6.1,4.5,1,0,1
EMP02593,2020-11-16,58,Male,Married,Region VII,Bachelor,Operations,Contractual,Night,12,42000,2.6,Meets Expectations,14,12,26,190,5.9,5.5,2,2,1
EMP03987,2020-10-11,41,Female,Married,Region IV-A,Master,Operations,Regular,Morning,14.3,54500,1.3,Needs Improvement,,18,21,,2.3,4.7,1,1,1
EMP05565,2018-01-02,48,Male,Married,CAR,Bachelor,Operations,Regular,Graveyard,16.9,41000,3.5,Meets Expectations,27,10,29,316,3.5,2.8,4,4,1
EMP05222,2011-07-14,58,Female,Married,Region III,PhD,IT,Project-based,Graveyard,13.9,76000,2.7,Meets Expectations,25,10,5,28,5.4,5.6,2,1,1
EMP01228,2013-02-28,52,Female,Married,Region VII,Master,Sales,Regular,Morning,16.2,46500,3.6,Exceeds Expectations,38,8,13,236,6.8,,4,0,0
EMP02421,2016-02-19,49,Female,Single,NCR,Bachelor,Sales,Contractual,Night,8.2,32000,4.9,Outstanding,58,7,16,14,4.4,4.6,3,1,1
EMP05196,2021-10-09,58,Male,Widowed,NCR,High School,Operations,Project-based,Afternoon,10.7,33500,,Meets Expectations,41,11,28,8,4.1,4.5,2,1,1
EMP03747,2017-11-28,46,Male,Single,NCR,Vocational,HR,Project-based,Graveyard,8.3,21000,2.8,Meets Expectations,41,14,27,7,,3.4,1,1,1
EMP02533,2022-08-07,44,Female,Single,Region VII,Master,IT,Regular,Morning,30,83000,1,Needs Improvement,29,14,14,163,1.8,4.1,2,4,1
EMP04917,2009-03-07,48,Female,Separated,NCR,Master,IT,Regular,Afternoon,23.5,69500,2.9,Meets Expectations,,9,17,4,3.6,,4,2,1
EMP05326,2021-08-15,58,Female,Single,Region III,Master,Compliance,Project-based,Graveyard,14.4,62500,5,Outstanding,54,7,20,71,7.4,6.4,5,1,1
EMP01843,2020-06-19,40,Male,Married,Region I,Master,Operations,Regular,Morning,13.4,55500,3.9,Exceeds Expectations,35,10,20,242,5.2,4.4,4,1,0
EMP02306,2015-11-26,58,Female,Single,NCR,High School,Customer Service,Regular,Night,28,37500,1.1,Needs Improvement,25,13,14,14,1.8,4.4,2,3,0
EMP01241,2019-07-13,32,Female,Widowed,Region VII,Bachelor,Customer Service,Project-based,Morning,6.2,28500,4.2,Exceeds Expectations,36,150,30,171,7.5,6.6,2,1,1
EMP01085,2009-08-07,40,Male,Married,Region IV-A,High School,Sales,Regular,Morning,10.5,25000,3.1,Meets Expectations,45,18,23,62,3.1,5.5,2,2,1
EMP04165,2013-07-11,35,Male,Married,Region XI,Bachelor,Operations,Contractual,Night,4.4,22000,3.8,Exceeds Expectations,30,11,27,384,4.2,3,1,2,1
EMP01808,2019-09-14,45,Female,Single,NCR,Bachelor,Customer Service,Contractual,Night,10.5,26500,3.8,Exceeds Expectations,,9,30,12,7.1,5.1,2,0,0
EMP05775,2013-07-31,33,Female,Single,Region IV-A,Master,Sales,Contractual,Morning,3.9,42500,4.3,Exceeds Expectations,51,7,21,,3.8,3.2,1,0,1
EMP03751,2021-01-29,39,Male,Single,NCR,High School,Sales,Contractual,Night,5.6,20000,3.1,Meets Expectations,33,17,12,14,2.2,4.3,1,2,1
EMP02361,2016-04-07,42,Male,Separated,Region III,Master,Customer Service,Regular,Night,16,48000,4.4,Exceeds Expectations,50,9,27,51,4.4,4.2,4,2,0
EMP01706,2019-12-24,58,Male,Separated,Region IV-A,Bachelor,Compliance,Regular,Graveyard,27.5,59000,2.8,Meets Expectations,37,17,7,32,4.4,1.5,5,3,0
EMP04913,2016-05-12,50,Female,Single,Region III,Bachelor,Operations,Project-based,Morning,7.8,36000,3.1,Meets Expectations,27,13,12,80,2,7.4,1,3,1
EMP01928,2009-02-24,35,Female,Married,Region III,Bachelor,HR,Contractual,Morning,5.5,40000,4.3,Exceeds Expectations,52,150,17,45,5.7,2.9,2,1,1
EMP01747,2011-06-02,51,Female,Single,NCR,Master,Sales,Contractual,Afternoon,8.6,46000,2.5,Meets Expectations,42,10,17,14,2.9,4.8,1,1,1
EMP03460,2019-05-18,58,Male,Single,Region XI,Bachelor,Sales,Regular,Graveyard,19.8,49500,4.7,Outstanding,44,7,12,500,4.9,5.7,6,1,0
EMP01158,2010-07-02,47,Female,Single,NCR,Bachelor,Marketing,Contractual,Night,10.7,41500,2.6,Meets Expectations,28,21,20,7,2.3,3.9,2,3,1
EMP02331,2011-12-09,49,Male,Married,Region IV-A,Master,HR,Regular,Afternoon,22.8,51000,3.3,Meets Expectations,27,15,21,32,6,5.3,5,2,0
EMP04258,2021-07-12,37,Female,Single,NCR,Bachelor,Operations,Regular,Morning,11.3,36000,2.9,Meets Expectations,30,12,14,6,4.7,4.5,2,0,0
EMP02271,2017-11-27,40,Male,Married,NCR,Vocational,IT,Regular,Afternoon,16.3,58000,4.4,Exceeds Expectations,44,8,4,12,7.5,5.6,5,2,0
EMP05399,2009-12-03,30,Female,Single,Region III,Master,Operations,Regular,Morning,6,42500,3.9,Exceeds Expectations,34,17,36,31,4.2,4.5,1,0,0
EMP03993,2015-07-28,45,Male,Single,NCR,High School,HR,Regular,Morning,18,33000,2.6,Meets Expectations,16,18,18,5,3.2,5.8,3,2,1
EMP02039,2021-03-02,38,Male,Married,NCR,Master,Operations,Regular,Night,11.1,47000,3.3,Meets Expectations,41,-5,27,14,4.3,3.3,2,0,1
EMP05980,2013-01-08,58,Female,Widowed,Region IV-A,Bachelor,Operations,Regular,Afternoon,23.7,46000,1,Needs Improvement,14,14,29,42,3.4,3.3,1,2,0
EMP04448,2015-11-23,36,Female,Married,Region I,Bachelor,IT,Regular,Afternoon,13.9,55000,5,Outstanding,42,6,12,107,5.4,5.4,4,0,0
EMP01764,2014-12-23,58,Male,Single,Region III,Vocational,Marketing,Regular,Night,28.2,48500,4,Exceeds Expectations,,9,14,,5.7,5.6,7,2,0
EMP02445,2020-08-30,37,Female,Single,Region I,Bachelor,Customer Service,Regular,Afternoon,12.4,38500,4.3,Exceeds Expectations,32,11,17,211,3.8,7.3,3,1,1
EMP04806,2017-01-08,42,Female,Married,Region III,Vocational,Compliance,Contractual,Night,8.2,41500,4.1,Exceeds Expectations,57,8,24,34,6,6,2,2,1
EMP02594,2013-01-26,37,Female,Widowed,Region VII,Bachelor,Operations,Regular,Night,16.8,40500,2.9,Meets Expectations,22,11,34,341,5,4.3,3,0,1
EMP02042,2014-01-16,38,Male,Single,NCR,Bachelor,Marketing,Project-based,Night,8.2,47000,2.9,Meets Expectations,21,24,31,5,3,1.1,1,2,1
EMP02104,2010-09-21,47,Female,Separated,Region III,Bachelor,Customer Service,Regular,Night,19.6,50000,2.7,Meets Expectations,40,12,27,69,1.4,3,3,1,0
EMP03120,2014-08-03,29,Female,Single,Region XI,Master,Customer Service,Regular,Night,7.1,44500,3.3,Meets Expectations,43,11,29,325,3.5,4.7,1,0,1
EMP05232,2021-10-06,37,Male,Married,Region III,Bachelor,HR,Regular,Afternoon,14.8,46500,,Exceeds Expectations,39,11,20,53,4.2,3.1,4,1,0
EMP02627,2016-06-08,46,Female,Single,Region XI,Master,Operations,Regular,Night,17.8,47500,3,Meets Expectations,36,11,29,330,6.8,8.1,4,0,0
EMP04544,2008-09-21,57,Female,Single,NCR,Master,Sales,Contractual,Graveyard,10.4,40500,3.4,Meets Expectations,40,9,15,11,5.5,5.5,2,1,1
EMP04919,2013-01-02,45,Female,Separated,NCR,Master,IT,Regular,Morning,19.9,71000,3.4,Meets Expectations,25,13,24,6,3.9,6.6,4,2,0
EMP03860,2023-01-31,58,Male,Married,NCR,Vocational,Operations,Regular,Night,23.5,39500,3,Meets Expectations,29,12,17,12,4.2,5.8,5,2,0
EMP04959,2016-06-09,38,Female,Married,NCR,Bachelor,Operations,Regular,Night,11.4,34000,4,Exceeds Expectations,39,10,30,9,4.6,4.9,3,2,1
EMP05155,2013-05-29,37,Male,Single,NCR,Master,Sales,Project-based,Night,3.7,51500,3.4,Meets Expectations,43,14,22,7,2.8,4.1,0,0,1
EMP03521,2022-11-07,45,Male,Single,Region III,High School,IT,Regular,Afternoon,22.4,60500,2.5,Meets Expectations,44,16,14,35,4.7,5.6,3,2,1
EMP05951,2021-04-01,47,Female,Single,NCR,Bachelor,Sales,Regular,Morning,16.6,47000,4.2,Exceeds Expectations,,7,11,13,6.6,4.4,5,5,0
EMP05622,2010-04-18,45,Male,Married,Region XI,Bachelor,Marketing,Regular,Night,22,57500,3.2,Meets Expectations,36,9,15,315,2.6,6.4,4,2,1
EMP04684,2018-09-11,32,Female,Married,Region IV-A,Bachelor,Operations,Regular,Afternoon,7.1,33000,2.8,Meets Expectations,41,14,33,57,1.4,1.3,1,4,1
EMP04910,2014-01-31,58,Female,Married,Region III,Bachelor,Sales,Regular,Night,19.8,42500,2.9,Meets Expectations,47,-5,14,80,4.8,1,4,3,0
EMP02145,2013-12-28,39,Female,Married,NCR,High School,Sales,Regular,Night,10.1,27000,3.4,Meets Expectations,27,9,11,5,1.2,,2,0,1
EMP05065,2023-05-24,40,Female,Married,Region III,Master,Customer Service,Regular,Morning,15.1,46500,3.3,Meets Expectations,27,18,21,49,3.5,4.7,3,0,1
EMP05968,2017-11-19,52,Male,Married,Region XI,Bachelor,IT,Regular,Morning,27.7,65000,3.3,Meets Expectations,50,9,14,410,,5.1,6,1,0
EMP02621,2011-03-08,35,Male,Married,Region XI,Bachelor,Finance,Regular,Morning,19.9,61000,2.8,Meets Expectations,36,10,20,352,2.9,5.7,3,0,1
EMP05589,2022-08-12,33,Male,Single,Region III,Bachelor,IT,Regular,Night,10.6,54000,3.8,Exceeds Expectations,36,9,12,51,8.3,6.8,3,0,0
EMP02193,2017-03-12,22,Female,Married,CAR,Vocational,Sales,Project-based,Afternoon,1.3,16000,4.3,Exceeds Expectations,54,-1,15,423,4.8,5.4,0,0,1
EMP02102,2023-08-30,52,Female,Married,Region XI,Master,Compliance,Regular,Morning,23.8,,3.9,Exceeds Expectations,50,7,29,195,5.6,8.2,6,0,0
EMP02979,2015-07-09,44,Female,Married,NCR,Bachelor,Customer Service,Regular,Graveyard,18.2,37500,3.1,Meets Expectations,36,9,13,13,3.9,1.4,4,2,1
EMP05213,2023-10-20,45,Male,Separated,CAR,Bachelor,HR,Contractual,Night,9.3,29000,3.9,Exceeds Expectations,40,17,16,405,6.4,,2,2,1
EMP01423,2010-12-07,25,Female,Single,CAR,Bachelor,Operations,Regular,Night,4.7,22500,4.5,Exceeds Expectations,42,13,43,296,8.6,5.2,1,0,1
EMP01590,2011-04-22,58,Female,Married,Region III,Vocational,Operations,Regular,Afternoon,24.3,43500,2.6,Meets Expectations,,14,28,44,4.4,3.5,5,0,0
EMP03498,2020-11-03,40,Female,Single,NCR,Bachelor,Customer Service,Contractual,Graveyard,10.2,30000,3.3,Meets Expectations,43,13,33,8,4.9,2.9,2,3,1
EMP03105,2015-08-09,58,Male,Single,Region IV-A,Bachelor,Marketing,Regular,Morning,27.6,57500,1.4,Needs Improvement,14,12,1,52,2.2,5,2,2,1
